Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,2.190000,2.220000,2.190000,2.220000,2.220000,2383057
2019-07-11,2.190000,2.230000,2.180000,2.200000,2.200000,3172921
2019-07-12,2.190000,2.220000,2.190000,2.200000,2.200000,2958456
2019-07-15,2.200000,2.210000,2.180000,2.210000,2.210000,3178890
2019-07-16,2.190000,2.290000,2.190000,2.240000,2.240000,5519321
2019-07-17,2.220000,2.240000,2.200000,2.200000,2.200000,3741547
2019-07-18,2.210000,2.210000,2.050000,2.120000,2.120000,9641735
2019-07-19,2.130000,2.130000,2.080000,2.080000,2.080000,1871520
2019-07-22,2.080000,2.130000,2.060000,2.110000,2.110000,2664488
2019-07-23,2.100000,2.150000,2.100000,2.130000,2.130000,1742140
2019-07-24,2.120000,2.190000,2.120000,2.170000,2.170000,2600226
2019-07-25,2.180000,2.210000,2.145000,2.190000,2.190000,5234789
2019-07-26,2.200000,2.210000,2.180000,2.210000,2.210000,2142486
2019-07-29,2.230000,2.300000,2.220000,2.290000,2.290000,10207218
2019-07-30,2.280000,2.290000,2.225000,2.290000,2.290000,4436828
2019-07-31,2.290000,2.340000,2.240000,2.270000,2.270000,8354664
2019-08-01,2.000000,2.020000,1.780000,1.910000,1.910000,37775577
2019-08-02,1.900000,1.930000,1.850000,1.850000,1.850000,11065346
2019-08-06,1.900000,1.940000,1.810000,1.880000,1.880000,11992499
2019-08-07,1.860000,1.880000,1.810000,1.840000,1.840000,6921579
2019-08-08,1.840000,1.870000,1.840000,1.860000,1.860000,3683439
2019-08-09,1.870000,1.870000,1.800000,1.810000,1.810000,7273758
2019-08-12,1.800000,1.800000,1.710000,1.730000,1.730000,8637052
2019-08-13,1.720000,1.780000,1.720000,1.750000,1.750000,5325807
2019-08-14,1.750000,1.750000,1.700000,1.710000,1.710000,6350436
2019-08-15,1.700000,1.710000,1.560000,1.590000,1.590000,8447933
2019-08-16,1.560000,1.680000,1.530000,1.660000,1.660000,9268612
2019-08-19,1.680000,1.720000,1.630000,1.700000,1.700000,7796188
2019-08-20,1.690000,1.730000,1.680000,1.680000,1.680000,5037658
2019-08-21,1.700000,1.720000,1.670000,1.710000,1.710000,2781784
2019-08-22,1.710000,1.740000,1.700000,1.720000,1.720000,3798556
2019-08-23,1.720000,1.720000,1.580000,1.580000,1.580000,12853444
2019-08-26,1.600000,1.700000,1.600000,1.670000,1.670000,6242851
2019-08-27,1.690000,1.710000,1.670000,1.700000,1.700000,6872782
2019-08-28,1.710000,1.710000,1.650000,1.670000,1.670000,2938466
2019-08-29,1.680000,1.720000,1.680000,1.690000,1.690000,5492470
2019-08-30,1.700000,1.740000,1.690000,1.720000,1.720000,5337302
2019-09-03,1.710000,1.800000,1.710000,1.800000,1.800000,4931397
2019-09-04,1.810000,1.850000,1.780000,1.780000,1.780000,4670207
2019-09-05,1.810000,1.870000,1.790000,1.800000,1.800000,7436624
2019-09-06,1.820000,1.830000,1.770000,1.780000,1.780000,3245827
2019-09-09,1.770000,1.830000,1.760000,1.820000,1.820000,5422937
2019-09-10,1.820000,1.890000,1.800000,1.880000,1.880000,9374081
